CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
dc135fd6f322   TestBiggerSlow8PeerPoS2   670.25%   155.6MiB / 25.01GiB   0.61%     606B / 0B   0B / 0B     77
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O     BLOCK I/O   PIDS
dc135fd6f322   TestBiggerSlow8PeerPoS2   50.88%    120MiB / 25.01GiB   0.47%     696B / 0B   0B / 0B     58
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT    MEM %     NET I/O     BLOCK I/O   PIDS
dc135fd6f322   TestBiggerSlow8PeerPoS2   794.18%   4.04GiB / 25.01GiB   16.15%    696B / 0B   0B / 0B     65
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
dc135fd6f322   TestBiggerSlow8PeerPoS2   803.51%   4.056GiB / 25.01GiB   16.22%    766B / 0B   0B / 0B     65
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
dc135fd6f322   TestBiggerSlow8PeerPoS2   793.00%   4.434GiB / 25.01GiB   17.73%    766B / 0B   0B / 0B     65
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
dc135fd6f322   TestBiggerSlow8PeerPoS2   786.08%   5.083GiB / 25.01GiB   20.32%    766B / 0B   0B / 0B     65
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
dc135fd6f322   TestBiggerSlow8PeerPoS2   798.87%   5.674GiB / 25.01GiB   22.69%    766B / 0B   0B / 0B     65
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
dc135fd6f322   TestBiggerSlow8PeerPoS2   810.36%   5.752GiB / 25.01GiB   23.00%    766B / 0B   0B / 0B     66
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
dc135fd6f322   TestBiggerSlow8PeerPoS2   798.55%   5.776GiB / 25.01GiB   23.10%    766B / 0B   0B / 0B     66
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
dc135fd6f322   TestBiggerSlow8PeerPoS2   797.19%   5.796GiB / 25.01GiB   23.18%    766B / 0B   0B / 0B     66
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
