CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
               --        0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   197.44%   294.6MiB / 25.01GiB   1.15%     696B / 0B   0B / 0B     38
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   100.02%   528.7MiB / 25.01GiB   2.06%     696B / 0B   0B / 0B     39
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   103.49%   700.6MiB / 25.01GiB   2.74%     696B / 0B   0B / 0B     41
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   52.04%    888.2MiB / 25.01GiB   3.47%     696B / 0B   0B / 0B     41
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   644.89%   2.203GiB / 25.01GiB   8.81%     766B / 0B   0B / 0B     50
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   790.03%   2.282GiB / 25.01GiB   9.13%     766B / 0B   0B / 0B     50
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   799.14%   3.019GiB / 25.01GiB   12.07%    766B / 0B   0B / 0B     50
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   806.89%   3.376GiB / 25.01GiB   13.50%    766B / 0B   0B / 0B     52
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   800.89%   3.408GiB / 25.01GiB   13.63%    766B / 0B   0B / 0B     52
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT    MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   800.89%   3.44GiB / 25.01GiB   13.75%    766B / 0B   0B / 0B     52
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   796.90%   4.269GiB / 25.01GiB   17.07%    766B / 0B   0B / 0B     52
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   789.65%   5.138GiB / 25.01GiB   20.54%    766B / 0B   0B / 0B     52
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   805.99%   5.324GiB / 25.01GiB   21.29%    766B / 0B   0B / 0B     52
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   804.49%   5.356GiB / 25.01GiB   21.41%    836B / 0B   0B / 0B     52
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   793.49%   5.394GiB / 25.01GiB   21.57%    836B / 0B   0B / 0B     52
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   799.21%   5.424GiB / 25.01GiB   21.69%    836B / 0B   0B / 0B     52
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT    MEM %     NET I/O     BLOCK I/O   PIDS
7275265646f8   TestSlow8PeerPoSFixedGraph2   798.49%   5.46GiB / 25.01GiB   21.83%    836B / 0B   0B / 0B     52
